Para la configuracion del archivo, se han elegido 14 archivos.
archivo1  1071186 1
archivo2  4631711 10
archivo3  2480103 2
archivo5  7039627 6
archivo7  7479869 8
archivo8  3647409 5
archivo9  4084254 3
archivo10  6740655 6
archivo11  1627011 6
archivo14  2168294 2
archivo16  7978420 8
archivo17  1455248 1
archivo18  7593550 8
archivo19  3928881 8

La suma de sus indicadores de importancia da 74.
