Para la configuracion del archivo, se han elegido 10 archivos.
archivo5  8086589 6
archivo7  8969504 9
archivo8  5403587 4
archivo9  2134623 8
archivo10  4028782 2
archivo11  5823913 4
archivo12  5718054 9
archivo13  3316370 5
archivo15  3482390 3
archivo16  4078522 9

La suma de sus indicadores de importancia da 59.
