caso,cant,cota dual,mejor1,var1,tiempo1,mejor4,var4,tiempo4,mejor5,var5,tiempo5,mejor6,var6,tiempo6
f0015.in,15,8.0,8.0,240,0.0,8.0,240,0.0,7.666666666666667,42,0.0,0,0,0
f0018.in,18,9.166666666666666,8.0,240,0.0,8.0,240,0.0,9.166666666666666,624,0.0,0,0,0
f0032.in,32,17.0,8.0,240,0.0,17.0,1056,0.0,16.5,103,0.0,0,0,0f0032.in,32,17.0,0,0,0,17.0,1056,1.0,0,0,0,0,0,0
