caso,cant,cota dual,mejor1,var1,tiempo1,mejor4,var4,tiempo4,mejor5,var5,tiempo5,mejor6,var6,tiempo6
f0017.in,17,9,9,306,0.0,9,212,0.0,12,27,4.557465553283691,9,0,0.06952905654907227
f0032.in,32,17,-,-,420,17,2922,0.0,18,40,4.927891731262207,17,0,0.021368026733398438
f0512.in,512,279,-,-,420,-,-,420,280,358,11.847821950912476,279,0,0.11901140213012695
f0850.in,850,445,-,-,420,-,-,420,445,563,70.30292797088623,445,0,0.5476562976837158
f2048.in,2048,1021,-,-,420,-,-,420,1021,1166,421.8480694293976,1021,0,1.922773838043213
